Approved Symbol	Phenotypes
PIK3CD	Immunodeficiency 14, Autosomal dominant
NMNAT1	Leber congenital amaurosis 9, Autosomal recessive
KIF1B	Pheochromocytoma, Autosomal dominant
PEX14	Peroxisome biogenesis disorder 13A (Zellweger), Autosomal recessive
TARDBP	Amyotrophic lateral sclerosis 10, with or without FTD, Autosomal dominant;Frontotemporal lobar degeneration, TARDBP-related, Autosomal dominant
MASP2	MASP2 deficiency, Autosomal recessive
MTOR	Smith-Kingsmore syndrome, Autosomal dominant
UBIAD1	Corneal dystrophy, Schnyder type, Autosomal dominant
MTHFR	Homocystinuria due to MTHFR deficiency, Autosomal recessive
NPPA	Atrial fibrillation, familial, 6, Autosomal dominant;Atrial standstill 2, Autosomal recessive
PLOD1	Ehlers-Danlos syndrome, type VI, Autosomal recessive
MFN2	Charcot-Marie-Tooth disease, axonal, type 2A2A, Autosomal dominant;Charcot-Marie-Tooth disease, axonal, type 2A2B, Autosomal recessive;Hereditary motor and sensory neuropathy VIA, Autosomal dominant
GBD2	Gallbladder disease 2
ANIB3	Aneurysm, intracranial berry, 3, Autosomal dominant
CLCNKA	Bartter syndrome, type 4b, digenic, Digenic recessive
CLCNKB	Bartter syndrome, type 3, Autosomal recessive;Bartter syndrome, type 4b, digenic, Digenic recessive
EPHA2	Cataract 6, multiple types, Autosomal dominant
ATP13A2	Kufor-Rakeb syndrome, Autosomal recessive;Spastic paraplegia 78, autosomal recessive, Autosomal recessive
SDHB	Cowden syndrome 2, Autosomal dominant;Gastrointestinal stromal tumor, Autosomal dominant, Isolated cases;Paraganglioma and gastric stromal sarcoma;Paragangliomas 4, Autosomal dominant;Pheochromocytoma, Autosomal dominant
PADI3	Uncombable hair syndrome, Autosomal recessive
PADI6	Preimplantation embryonic lethality 2, Autosomal recessive
PAX7	Rhabdomyosarcoma 2, alveolar, Autosomal recessive
ALDH4A1	Hyperprolinemia, type II, Autosomal recessive
EMC1	Cerebellar atrophy, visual impairment, and psychomotor retardation, Autosomal recessive
PINK1	Parkinson disease 6, early onset, Autosomal recessive
ALPL	Hypophosphatasia, adult, Autosomal recessive, Autosomal dominant;Hypophosphatasia, childhood, Autosomal recessive;Hypophosphatasia, infantile, Autosomal recessive;Odontohypophosphatasia, Autosomal recessive, Autosomal dominant
HSPG2	Dyssegmental dysplasia, Silverman-Handmaker type, Autosomal recessive;Schwartz-Jampel syndrome, type 1, Autosomal recessive
CDC42	Takenouchi-Kosaki syndrome
WNT4	Mullerian aplasia and hyperandrogenism, Autosomal dominant
C1QA	C1q deficiency, Autosomal recessive
C1QC	C1q deficiency, Autosomal recessive
C1QB	C1q deficiency, Autosomal recessive
KDM1A	Cleft palate, psychomotor retardation, and distinctive facial features, Autosomal dominant
RPL11	Diamond-Blackfan anemia 7, Autosomal dominant
GALE	Galactose epimerase deficiency, Autosomal recessive
HMGCL	HMG-CoA lyase deficiency, Autosomal recessive
FUCA1	Fucosidosis, Autosomal recessive
GRHL3	Van der Woude syndrome 2, Autosomal dominant
RHCE	Rh-null disease, amorph type (3)
LDLRAP1	Hypercholesterolemia, familial, autosomal recessive
SELENON	Muscular dystrophy, rigid spine, 1, Autosomal recessive;Myopathy, congenital, with fiber-type disproportion, Autosomal recessive, Autosomal dominant
SLC30A2	Zinc deficiency, transient neonatal, Autosomal dominant
DHDDS	Retinitis pigmentosa 59, Autosomal recessive
ARID1A	Coffin-Siris syndrome 2, Autosomal dominant
PIGV	Hyperphosphatasia with mental retardation syndrome 1, Autosomal recessive
NR0B2	Obesity, mild, early-onset, Autosomal recessive, Autosomal dominant, Multifactorial
FCN3	Immunodeficiency due to ficolin 3 deficiency, Autosomal recessive
AHDC1	Xia-Gibbs syndrome, Autosomal dominant
EPB41	Elliptocytosis-1
MECR	Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities, Autosomal recessive
YARS	Charcot-Marie-Tooth disease, dominant intermediate C, Autosomal dominant
HPCA	Dystonia 2, torsion, autosomal recessive, Autosomal recessive
AK2	Reticular dysgenesis, Autosomal recessive
GBD3	Gallbladder disease 3
GJB4	Erythrokeratodermia variabilis with erythema gyratum repens, Autosomal recessive, Autosomal dominant
GJB3	Deafness, autosomal dominant 2B, Autosomal dominant;Deafness, autosomal dominant, with peripheral neuropathy (3);Deafness, autosomal recessive (3);Deafness, digenic, GJB2/GJB3, Autosomal recessive, Digenic dominant;Erythrokeratodermia variabilis et progressiva, Autosomal recessive, Autosomal dominant
COL8A2	Corneal dystrophy, Fuchs endothelial, 1, Autosomal dominant;Corneal dystrophy, posterior polymorphous 2
CSF3R	Neutropenia, severe congenital, 7, autosomal recessive, Autosomal recessive
SNIP1	Psychomotor retardation, epilepsy, and craniofacial dysmorphism, Autosomal recessive
RSPO1	Palmoplantar hyperkeratosis and true hermaphroditism, Autosomal recessive;Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal, Autosomal recessive
MFSD2A	Microcephaly 15, primary, autosomal recessive, Autosomal recessive
PPT1	Ceroid lipofuscinosis, neuronal, 1, Autosomal recessive
ZMPSTE24	Mandibuloacral dysplasia with type B lipodystrophy, Autosomal recessive;Restrictive dermopathy, lethal, Autosomal recessive
COL9A2	Epiphyseal dysplasia, multiple, 2, Autosomal dominant
KCNQ4	Deafness, autosomal dominant 2A, Autosomal dominant
CTPS1	Immunodeficiency 24, Autosomal recessive
CLDN19	Hypomagnesemia 5, renal, with ocular involvement, Autosomal recessive
P3H1	Osteogenesis imperfecta, type VIII, Autosomal recessive
SLC2A1	Dystonia 9, Autosomal dominant;GLUT1 deficiency syndrome 1, infantile onset, severe, Autosomal recessive, Autosomal dominant;GLUT1 deficiency syndrome 2, childhood onset, Autosomal dominant;Stomatin-deficient cryohydrocytosis with neurologic defects, Autosomal dominant
MPL	Myelofibrosis with myeloid metaplasia, somatic;Thrombocythemia 2, Autosomal dominant, Somatic mutation;Thrombocytopenia, congenital amegakaryocytic, Autosomal recessive
SZT2	Epileptic encephalopathy, early infantile, 18, Autosomal recessive
PTOS1	Ptosis, hereditary congenital, 1, Autosomal dominant
ST3GAL3	Epileptic encephalopathy, early infantile, 15, Autosomal recessive;Mental retardation, autosomal recessive 12, Autosomal recessive
SLC6A9	Glycine encephalopathy with normal serum glycine, Autosomal recessive
PTCH2	Basal cell carcinoma, somatic;Basal cell nevus syndrome, Autosomal dominant;Medulloblastoma, somatic
EIF2B3	Leukoencephalopathy with vanishing white matter, Autosomal recessive
UROD	Porphyria cutanea tarda, Autosomal dominant;Porphyria, hepatoerythropoietic, Autosomal dominant
MUTYH	Adenomas, multiple colorectal, Autosomal recessive;Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas, Somatic mutation;Gastric cancer, somatic
MMACHC	Methylmalonic aciduria and homocystinuria, cblC type, Autosomal recessive
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3, Autosomal recessive;Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3, Autosomal recessive;Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 3, Autosomal recessive;Retinitis pigmentosa 76, Autosomal recessive
RAD54L	Adenocarcinoma, colonic, somatic (3);Lymphoma, non-Hodgkin, somatic
TAL1	Leukemia, T-cell acute lymphocytic, somatic
STIL	Microcephaly 7, primary, autosomal recessive, Autosomal recessive
FOXE3	Anterior segment dysgenesis 2, multiple subtypes, Autosomal recessive;Cataract 34, multiple types
ELAVL4	Neuropathy, paraneoplastic sensory (1)
SCA37	Spinocerebellar ataxia 37, Autosomal dominant
ORC1	Meier-Gorlin syndrome 1, Autosomal recessive
SCP2	Leukoencephalopathy with dystonia and motor neuropathy, Autosomal recessive
CPT2	CPT II deficiency, infantile, Autosomal recessive;CPT II deficiency, lethal neonatal, Autosomal recessive;CPT II deficiency, myopathic, stress-induced, Autosomal recessive, Autosomal dominant
DHCR24	Desmosterolosis, Autosomal recessive
BSND	Bartter syndrome, type 4a, Autosomal recessive;Sensorineural deafness with mild renal dysfunction, Autosomal recessive
PCSK9	Hypercholesterolemia, familial, 3
C8A	C8 deficiency, type I, Autosomal recessive
C8B	C8 deficiency, type II, Autosomal recessive
TACSTD2	Corneal dystrophy, gelatinous drop-like, Autosomal recessive
DOCK7	Epileptic encephalopathy, early infantile, 23, Autosomal recessive
ANGPTL3	Hypobetalipoproteinemia, familial, 2, Autosomal recessive
ALG6	Congenital disorder of glycosylation, type Ic, Autosomal recessive
PGM1	Congenital disorder of glycosylation, type It, Autosomal recessive
DNAJC6	Parkinson disease 19a, juvenile-onset, Autosomal recessive;Parkinson disease 19b, early-onset, Autosomal recessive
LEPR	Obesity, morbid, due to leptin receptor deficiency
SLC35D1	Schneckenbecken dysplasia, Autosomal recessive
RPE65	Leber congenital amaurosis 2, Autosomal recessive;Retinitis pigmentosa 20, Autosomal recessive
SPG29	Spastic paraplegia 29, autosomal dominant, Autosomal dominant
CTH	Cystathioninuria, Autosomal recessive;Homocysteine, total plasma, elevated (3)
ACADM	Acyl-CoA dehydrogenase, medium chain, deficiency of, Autosomal recessive
NEXN	Cardiomyopathy, dilated, 1CC, Autosomal dominant;Cardiomyopathy, hypertrophic, 20, Autosomal dominant
BCL10	Lymphoma, MALT, somatic
ZNF644	Myopia 21, autosomal dominant, Autosomal dominant
HFM1	Premature ovarian failure 9, Autosomal recessive
DFNB32	Deafness, autosomal recessive 32, Autosomal recessive
GLMN	Glomuvenous malformations, Autosomal dominant
RPL5	Diamond-Blackfan anemia 6, Autosomal dominant
ABCA4	Cone-rod dystrophy 3;Fundus flavimaculatus, Autosomal recessive;Retinal dystrophy, early-onset severe, Autosomal recessive;Retinitis pigmentosa 19;Stargardt disease 1, Autosomal recessive
RP32	Retinitis pigmentosa 32
WS2B	Waardenburg syndrome, type 2B, Autosomal dominant
DPYD	Dihydropyrimidine dehydrogenase deficiency, Autosomal recessive;5-fluorouracil toxicity, Autosomal recessive
AGL	Glycogen storage disease IIIa, Autosomal recessive;Glycogen storage disease IIIb, Autosomal recessive
DBT	Maple syrup urine disease, type II, Autosomal recessive
CDC14A	Deafness, autosomal recessive 105, Autosomal recessive
MRT4	Mental retardation, autosomal recessive, 4, Autosomal recessive
COL11A1	Fibrochondrogenesis 1, Autosomal recessive;Marshall syndrome, Autosomal dominant;Stickler syndrome, type II, Autosomal dominant
GPSM2	Chudley-McCullough syndrome, Autosomal recessive
GNAI3	Auriculocondylar syndrome 1, Autosomal dominant
GNAT2	Achromatopsia 4
AMPD2	Pontocerebellar hypoplasia, type 9, Autosomal recessive
ALX3	Frontonasal dysplasia 1, Autosomal recessive
SLC6A17	Mental retardation, autosomal recessive 48, Autosomal recessive
RBM15	Megakaryoblastic leukemia, acute
KCNA2	Epileptic encephalopathy, early infantile, 32, Autosomal dominant
DRAM2	Cone-rod dystrophy 21, Autosomal recessive
KCND3	Brugada syndrome 9, Autosomal dominant;Spinocerebellar ataxia 19, Autosomal dominant
SLC16A1	Erythrocyte lactate transporter defect, Autosomal dominant;Hyperinsulinemic hypoglycemia, familial, 7, Autosomal dominant;Monocarboxylate transporter 1 deficiency, Autosomal recessive, Autosomal dominant
LRIG2	Urofacial syndrome 2, Autosomal recessive
AP4B1	Spastic paraplegia 47, autosomal recessive, Autosomal recessive
AMPD1	Myopathy due to myoadenylate deaminase deficiency, Autosomal recessive
NRAS	Colorectal cancer, somatic;Epidermal nevus, somatic;Melanocytic nevus syndrome, congenital, somatic;Neurocutaneous melanosis, somatic;Noonan syndrome 6, Autosomal dominant;Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic;Thyroid carcinoma, follicular, somatic
TSHB	Hypothryoidism, congenital, nongoitrous 4, Autosomal recessive
NGF	Neuropathy, hereditary sensory and autonomic, type V, Autosomal recessive
VANGL1	Caudal regression syndrome, Autosomal dominant
CASQ2	Ventricular tachycardia, catecholaminergic polymorphic, 2, Autosomal recessive
TBX15	Cousin syndrome, Autosomal recessive
HSD3B2	Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency, Autosomal recessive
PHGDH	Neu-Laxova syndrome 1, Autosomal recessive;Phosphoglycerate dehydrogenase deficiency, Autosomal recessive
HMGCS2	HMG-CoA synthase-2 deficiency, Autosomal recessive
NOTCH2	Alagille syndrome 2, Autosomal dominant;Hajdu-Cheney syndrome, Autosomal dominant
CORD8	Cone-rod dystrophy 8, Autosomal recessive
DFNA49	Deafness, autosomal dominant 49, Autosomal dominant
DFNA7	Deafness, autosomal dominant 7, Autosomal dominant
RBM8A	Thrombocytopenia-absent radius syndrome, Autosomal recessive
HFE2	Hemochromatosis, type 2A, Autosomal recessive
GJA5	Atrial fibrillation, familial, 11, Autosomal dominant;Atrial standstill, digenic (GJA5/SCN5A), Autosomal dominant
GJA8	Cataract 1, multiple types, Autosomal dominant
SF3B4	Acrofacial dysostosis 1, Nager type, Autosomal dominant
VPS45	Neutropenia, severe congenital, 5, autosomal recessive, Autosomal recessive
PRPF3	Retinitis pigmentosa 18, Autosomal dominant
ECM1	Urbach-Wiethe disease, Autosomal recessive
ADAMTSL4	Ectopia lentis et pupillae, Autosomal recessive;Ectopia lentis, isolated, autosomal recessive, Autosomal recessive
CTSK	Pycnodysostosis, Autosomal recessive
ZNF687	Paget disease of bone 6, Autosomal dominant
RFX5	Bare lymphocyte syndrome, type II, complementation group C, Autosomal recessive;Bare lymphocyte syndrome, type II, complementation group E, Autosomal recessive
POGZ	White-Sutton syndrome, Autosomal dominant
RORC	Immunodeficiency 42, Autosomal recessive
FLG	Ichthyosis vulgaris, Autosomal dominant
LOR	Vohwinkel syndrome with ichthyosis, Autosomal dominant
GATAD2B	Mental retardation, autosomal dominant 18, Autosomal dominant
TPM3	CAP myopathy 1, Autosomal recessive, Autosomal dominant;Myopathy, congenital, with fiber-type disproportion, Autosomal recessive, Autosomal dominant;Nemaline myopathy 1, autosomal dominant or recessive, Autosomal recessive, Autosomal dominant
HAX1	Neutropenia, severe congenital 3, autosomal recessive, Autosomal recessive
CHRNB2	Epilepsy, nocturnal frontal lobe, 3
ADAR	Aicardi-Goutieres syndrome 6, Autosomal recessive;Dyschromatosis symmetrica hereditaria, Autosomal dominant
PMVK	Porokeratosis 1, multiple types, Autosomal dominant
FLAD1	Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency, Autosomal recessive
DPM3	Congenital disorder of glycosylation, type Io
MUC1	Medullary cystic kidney disease 1, Autosomal dominant
GBA	Gaucher disease, perinatal lethal, Autosomal recessive;Gaucher disease, type I, Autosomal recessive;Gaucher disease, type II, Autosomal recessive;Gaucher disease, type III, Autosomal recessive;Gaucher disease, type IIIC, Autosomal recessive
PKLR	Adenosine triphosphate, elevated, of erythrocytes, Autosomal dominant;Pyruvate kinase deficiency, Autosomal recessive
FDPS	Porokeratosis 9, multiple types
YY1AP1	Grange syndrome, Autosomal recessive
RIT1	Noonan syndrome 8, Autosomal dominant
LAMTOR2	Immunodeficiency due to defect in MAPBP-interacting protein, Autosomal recessive
LMNA	Cardiomyopathy, dilated, 1A, Autosomal dominant;Charcot-Marie-Tooth disease, type 2B1, Autosomal recessive;Emery-Dreifuss muscular dystrophy 2, AD, Autosomal dominant;Emery-Dreifuss muscular dystrophy 3, AR, Autosomal recessive;Heart-hand syndrome, Slovenian type, Autosomal dominant;Hutchinson-Gilford progeria, Autosomal recessive, Autosomal dominant;Lipodystrophy, familial partial, type 2, Autosomal dominant;Malouf syndrome, Autosomal dominant;Mandibuloacral dysplasia, Autosomal recessive;Muscular dystrophy, congenital, Autosomal dominant;Muscular dystrophy, limb-girdle, type 1B, Autosomal dominant;Restrictive dermopathy, lethal, Autosomal recessive
SEMA4A	Cone-rod dystrophy 10, Autosomal recessive;Retinitis pigmentosa 35, Autosomal recessive, Autosomal dominant
NAXE	Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy, Autosomal recessive
PRCC	Renal cell carcinoma, papillary
NTRK1	Insensitivity to pain, congenital, with anhidrosis, Autosomal recessive;Medullary thyroid carcinoma, familial, Autosomal dominant
SPTA1	Elliptocytosis-2, Autosomal dominant;Pyropoikilocytosis, Autosomal recessive;Spherocytosis, type 3, Autosomal recessive
PIGM	Glycosylphosphatidylinositol deficiency, Autosomal recessive
KCNJ10	Enlarged vestibular aqueduct, digenic, Autosomal recessive;SESAME syndrome, Autosomal recessive
ATP1A2	Alternating hemiplegia of childhood, Autosomal dominant;Migraine, familial basilar, Autosomal dominant;Migraine, familial hemiplegic, 2, Autosomal dominant
CASQ1	Myopathy, vacuolar, with CASQ1 aggregates, Autosomal dominant
PEX19	Peroxisome biogenesis disorder 12A (Zellweger), Autosomal recessive
NCSTN	Acne inversa, familial, 1, Autosomal dominant
VANGL2	Neural tube defects, Autosomal dominant
NECTIN4	Ectodermal dysplasia-syndactyly syndrome 1, Autosomal recessive
PPOX	Porphyria variegata, Autosomal dominant
NDUFS2	Mitochondrial complex I deficiency, Autosomal recessive, X-linked dominant, Mitochondrial
APOA2	Apolipoprotein A-II deficiency (3)
MPZ	Charcot-Marie-Tooth disease, dominant intermediate D, Autosomal dominant;Charcot-Marie-Tooth disease, type 1B, Autosomal dominant;Charcot-Marie-Tooth disease, type 2I, Autosomal dominant;Charcot-Marie-Tooth disease, type 2J, Autosomal dominant;Dejerine-Sottas disease, Autosomal recessive, Autosomal dominant;Neuropathy, congenital hypomyelinating, Autosomal recessive, Autosomal dominant;Roussy-Levy syndrome, Autosomal dominant
SDHC	Gastrointestinal stromal tumor, Autosomal dominant, Isolated cases;Paraganglioma and gastric stromal sarcoma;Paragangliomas 3, Autosomal dominant
FCGR3A	Immunodeficiency 20, Autosomal recessive
FCGR2C	Thrombocytopenic purpura, autoimmune, Autosomal dominant
FCGR3B	Neutropenia, alloimmune neonatal (3)
ATF6	Achromatopsia 7, Autosomal recessive
DDR2	Spondylometaepiphyseal dysplasia, short limb-hand type, Autosomal recessive
PBX1	Leukemia, acute pre-B-cell
TMCO1	Craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome, Autosomal recessive
TBX19	Adrenocorticotropic hormone deficiency, Autosomal recessive
SLC19A2	Thiamine-responsive megaloblastic anemia syndrome, Autosomal recessive
F5	Factor V deficiency, Autosomal recessive;Thrombophilia due to activated protein C resistance, Autosomal dominant
GORAB	Geroderma osteodysplasticum, Autosomal recessive
PRRX1	Agnathia-otocephaly complex, Autosomal recessive, Autosomal dominant
FMO3	Trimethylaminuria, Autosomal recessive
MYOC	Glaucoma 1A, primary open angle, Autosomal dominant
FASLG	Autoimmune lymphoproliferative syndrome, type IB, Autosomal dominant
DARS2	Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation, Autosomal recessive
SERPINC1	Thrombophilia due to antithrombin III deficiency, Autosomal recessive, Autosomal dominant
ABL2	Leukemia, acute myeloid, with eosinophilia (1)
NPHS2	Nephrotic syndrome, type 2, Autosomal recessive
LHX4	Pituitary hormone deficiency, combined, 4, Autosomal dominant
XPR1	Basal ganglia calcification, idiopathic, 6, Autosomal dominant
GLUL	Glutamine deficiency, congenital, Autosomal recessive
RNASEL	Prostate cancer 1, Autosomal dominant
LAMC2	Epidermolysis bullosa, junctional, Herlitz type, Autosomal recessive;Epidermolysis bullosa, junctional, non-Herlitz type, Autosomal recessive
NCF2	Chronic granulomatous disease due to deficiency of NCF-2, Autosomal recessive
TSEN15	Pontocerebellar hypoplasia, type 2F, Autosomal recessive
PRG4	Camptodactyly-arthropathy-coxa vara-pericarditis syndrome, Autosomal recessive
PLA2G4A	Phospholipase A2, group IV A, deficiency of (3)
CDC73	Hyperparathyroidism, familial primary, Autosomal dominant;Hyperparathyroidism-jaw tumor syndrome, Autosomal dominant;Parathyroid adenoma with cystic changes, Autosomal dominant;Parathyroid carcinoma
CFH	Basal laminar drusen, Autosomal dominant;Complement factor H deficiency, Autosomal recessive, Autosomal dominant
CFHR5	Nephropathy due to CFHR5 deficiency, Autosomal dominant
F13B	Factor XIIIB deficiency, Autosomal recessive
ASPM	Microcephaly 5, primary, autosomal recessive, Autosomal recessive
CRB1	Leber congenital amaurosis 8;Pigmented paravenous chorioretinal atrophy, Autosomal dominant;Retinitis pigmentosa-12, autosomal recessive, Autosomal recessive
PTPRC	Severe combined immunodeficiency, T cell-negative, B-cell/natural killer-cell positive, Autosomal recessive
DDX59	Orofaciodigital syndrome V, Autosomal recessive
CACNA1S	Hypokalemic periodic paralysis, type 1, Autosomal dominant
PKP1	Ectodermal dysplasia/skin fragility syndrome
TNNT2	Cardiomyopathy, dilated, 1D, Autosomal dominant;Cardiomyopathy, familial restrictive, 3, Autosomal dominant;Cardiomyopathy, hypertrophic, 2, Autosomal dominant;Left ventricular noncompaction 6, Autosomal dominant
UBE2T	Fanconi anemia, complementation group T, Autosomal recessive
SYT2	Myasthenic syndrome, congenital, 7, presynaptic, Autosomal dominant
SNRPE	Hypotrichosis 11, Autosomal dominant
REN	Hyperuricemic nephropathy, familial juvenile 2, Autosomal dominant;Renal tubular dysgenesis, Autosomal recessive
PPP1R15B	Microcephaly, short stature, and impaired glucose metabolism 2, Autosomal recessive
CR2	Immunodeficiency, common variable, 7, Autosomal recessive
CR1	CR1 deficiency (1)
LAMB3	Amelogenesis imperfecta, type IA, Autosomal dominant;Epidermolysis bullosa, junctional, Herlitz type, Autosomal recessive;Epidermolysis bullosa, junctional, non-Herlitz type, Autosomal recessive
HSD11B1	Cortisone reductase deficiency 2, Autosomal dominant
IRF6	Popliteal pterygium syndrome 1, Autosomal dominant;van der Woude syndrome, Autosomal dominant
SYT14	Spinocerebellar ataxia, autosomal recessive 11, Autosomal recessive
KCNH1	Temple-Baraitser syndrome, Autosomal dominant;Zimmermann-Laband syndrome 1, Autosomal dominant
RD3	Leber congenital amaurosis 12, Autosomal recessive
FLVCR1	Ataxia, posterior column, with retinitis pigmentosa, Autosomal recessive
PTPN14	Choanal atresia and lymphedema, Autosomal recessive
OTSC10	Otosclerosis 10, Autosomal dominant
RMD1	Rippling muscle disease-1, Autosomal dominant
CENPF	Stromme syndrome, Autosomal recessive
USH2A	Retinitis pigmentosa 39;Usher syndrome, type 2A, Autosomal recessive
TGFB2	Loeys-Dietz syndrome 4, Autosomal dominant
SLC30A10	Hypermanganesemia with dystonia 1, Autosomal recessive
RAB3GAP2	Martsolf syndrome, Autosomal recessive;Warburg micro syndrome 2, Autosomal recessive
LBR	Greenberg skeletal dysplasia, Autosomal recessive;Pelger-Huet anomaly, Autosomal dominant
EPHX1	Diphenylhydantoin toxicity (1);Hypercholanemia, familial
PYCR2	Leukodystrophy, hypomyelinating, 10, Autosomal recessive
LEFTY2	Left-right axis malformations (3)
PSEN2	Alzheimer disease-4, Autosomal dominant;Cardiomyopathy, dilated, 1V, Autosomal dominant
COQ8A	Coenzyme Q10 deficiency, primary, 4, Autosomal recessive
GJC2	Leukodystrophy, hypomyelinating, 2, Autosomal recessive;Lymphedema, hereditary, IC, Autosomal dominant;Spastic paraplegia 44, autosomal recessive, Autosomal recessive
ACTA1	Myopathy, actin, congenital, with cores, Autosomal recessive, Autosomal dominant;Myopathy, actin, congenital, with excess of thin myofilaments, Autosomal recessive, Autosomal dominant;Myopathy, congenital, with fiber-type disproportion 1, Autosomal recessive, Autosomal dominant;Nemaline myopathy 3, autosomal dominant or recessive, Autosomal recessive, Autosomal dominant
AGT	Renal tubular dysgenesis, Autosomal recessive
ARV1	Epileptic encephalopathy, early infantile, 38, Autosomal recessive
GNPAT	Rhizomelic chondrodysplasia punctata, type 2, Autosomal recessive
SPRTN	Ruijs-Aalfs syndrome, Autosomal recessive
EGLN1	Erythrocytosis, familial, 3, Autosomal dominant
DISC2	Schizophrenia, Autosomal dominant
COA6	Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4, Autosomal recessive
TBCE	Encephalopathy, progressive, with amyotrophy and optic atrophy, Autosomal recessive;Hypoparathyroidism-retardation-dysmorphism syndrome, Autosomal recessive;Kenny-Caffey syndrome, type 1, Autosomal recessive
B3GALNT2	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 11, Autosomal recessive
LYST	Chediak-Higashi syndrome, Autosomal recessive
EDARADD	Ectodermal dysplasia 11A, hypohidrotic/hair/tooth type, autosomal dominant, Autosomal dominant;Ectodermal dysplasia 11B, hypohidrotic/hair/tooth type, autosomal recessive, Autosomal recessive
DFNB45	Deafness, autosomal recessive 45, Autosomal recessive
ACTN2	Cardiomyopathy, dilated, 1AA, with or without LVNC, Autosomal dominant;Cardiomyopathy, hypertrophic, 23, with or without LVNC, Autosomal dominant
MTR	Homocystinuria-megaloblastic anemia, cblG complementation type, Autosomal recessive
RYR2	Arrhythmogenic right ventricular dysplasia 2, Autosomal dominant;Ventricular tachycardia, catecholaminergic polymorphic, 1, Autosomal dominant
FMN2	Mental retardation, autosomal recessive 47, Autosomal recessive
GREM2	Tooth agenesis, selective, 9, Autosomal dominant
FH	Fumarase deficiency, Autosomal recessive;Leiomyomatosis and renal cell cancer, Autosomal dominant
SDCCAG8	Bardet-Biedl syndrome 16, Autosomal recessive;Senior-Loken syndrome 7
AKT3	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2, Autosomal dominant
COX20	Mitochondrial complex IV deficiency, Autosomal recessive, Mitochondrial
HNRNPU	Epileptic encephalopathy, early infantile, 54
NLRP3	CINCA syndrome, Autosomal dominant;Familial cold-induced inflammatory syndrome 1, Autosomal dominant;Muckle-Wells syndrome, Autosomal dominant
ETM2	Tremor, hereditary essential, 2, Autosomal dominant
TPO	Thyroid dyshormonogenesis 2A, Autosomal recessive
PXDN	Anterior segment dysgenesis 7, with sclerocornea, Autosomal recessive
MYT1L	Mental retardation, autosomal dominant 39, Autosomal dominant
