FW_plate,column,row,fw
FW-3,11,H,85
FW-3,12,A,2
FW-3,12,B,14
FW-3,12,C,26
FW-3,12,D,38
FW-3,12,E,50
FW-3,12,F,62
FW-3,12,G,74
FW-3,12,H,86
FW-3,1,A,3
FW-3,1,B,15
FW-3,1,C,27
FW-3,1,D,39
FW-3,1,E,51
FW-3,1,F,63
FW-3,1,G,75
FW-3,1,H,87
FW-3,2,A,4
FW-3,2,B,16
FW-3,2,C,28
FW-3,2,D,40
FW-3,2,E,52
FW-3,2,F,64
FW-3,2,G,76
FW-3,2,H,88
FW-3,3,A,5
FW-3,3,B,17
FW-3,3,C,29
FW-3,3,D,41
FW-3,3,E,53
FW-3,3,F,65
FW-3,3,G,77
FW-3,3,H,89
FW-3,4,A,6
FW-3,4,B,18
FW-3,4,C,30
FW-3,4,D,42
FW-3,4,E,54
FW-3,4,F,66
FW-3,4,G,78
FW-3,4,H,90
FW-3,5,A,7
FW-3,5,B,19
FW-3,5,C,31
FW-3,5,D,43
FW-3,5,E,55
FW-3,5,F,67
FW-3,5,G,79
FW-3,5,H,91
FW-3,6,A,8
FW-3,6,B,20
FW-3,6,C,32
FW-3,6,D,44
FW-3,6,E,56
FW-3,6,F,68
FW-3,6,G,80
FW-3,6,H,92
FW-3,7,A,9
FW-3,7,B,21
FW-3,7,C,33
FW-3,7,D,45
FW-3,7,E,57
FW-3,7,F,69
FW-3,7,G,81
FW-3,7,H,93
FW-3,8,A,10
FW-3,8,B,22
FW-3,8,C,34
FW-3,8,D,46
FW-3,8,E,58
FW-3,8,F,70
FW-3,8,G,82
FW-3,8,H,94
FW-3,9,A,11
FW-3,9,B,23
FW-3,9,C,35
FW-3,9,D,47
FW-3,9,E,59
FW-3,9,F,71
FW-3,9,G,83
FW-3,9,H,95
FW-3,10,A,12
FW-3,10,B,24
FW-3,10,C,36
FW-3,10,D,48
FW-3,10,E,60
FW-3,10,F,72
FW-3,10,G,84
FW-3,10,H,96
FW-4,10,A,1
FW-4,10,B,13
FW-4,10,C,25
FW-4,10,D,37
FW-4,10,E,49
FW-4,10,F,61
FW-4,10,G,73
FW-4,10,H,85
FW-4,11,A,2
FW-4,11,B,14
FW-4,11,C,26
FW-4,11,D,38
FW-4,11,E,50
FW-4,11,F,62
FW-4,11,G,74
FW-4,11,H,86
FW-4,12,A,3
FW-4,12,B,15
FW-4,12,C,27
FW-4,12,D,39
FW-4,12,E,51
FW-4,12,F,63
FW-4,12,G,75
FW-4,12,H,87
FW-4,1,A,4
FW-4,1,B,16
FW-4,1,C,28
FW-4,1,D,40
FW-4,1,E,52
FW-4,1,F,64
FW-4,1,G,76
FW-4,1,H,88
FW-4,2,A,5
FW-4,2,B,17
FW-4,2,C,29
FW-4,2,D,41
FW-4,2,E,53
FW-4,2,F,65
FW-4,2,G,77
FW-4,2,H,89
FW-4,3,A,6
FW-4,3,B,18
FW-4,3,C,30
FW-4,3,D,42
FW-4,3,E,54
FW-4,3,F,66
FW-4,3,G,78
FW-4,3,H,90
FW-4,4,A,7
FW-4,4,B,19
FW-4,4,C,31
FW-4,4,D,43
FW-4,4,E,55
FW-4,4,F,67
FW-4,4,G,79
FW-4,4,H,91
FW-4,5,A,8
FW-4,5,B,20
FW-4,5,C,32
FW-4,5,D,44
FW-4,5,E,56
FW-4,5,F,68
FW-4,5,G,80
FW-4,5,H,92
FW-4,6,A,9
FW-4,6,B,21
FW-4,6,C,33
FW-4,6,D,45
FW-4,6,E,57
FW-4,6,F,69
FW-4,6,G,81
FW-4,6,H,93
FW-4,7,A,10
FW-4,7,B,22
FW-4,7,C,34
FW-4,7,D,46
FW-4,7,E,58
FW-4,7,F,70
FW-4,7,G,82
FW-4,7,H,94
FW-4,8,A,11
FW-4,8,B,23
FW-4,8,C,35
FW-4,8,D,47
FW-4,8,E,59
FW-4,8,F,71
FW-4,8,G,83
FW-4,8,H,95
FW-4,9,A,12
FW-4,9,B,24
FW-4,9,C,36
FW-4,9,D,48
FW-4,9,E,60
FW-4,9,F,72
FW-4,9,G,84
FW-4,9,H,96
FW-5,9,A,1
FW-5,9,B,13
FW-5,9,C,25
FW-5,9,D,37
FW-5,9,E,49
FW-5,9,F,61
FW-5,9,G,73
FW-5,9,H,85
FW-5,10,A,2
FW-5,10,B,14
FW-5,10,C,26
FW-5,10,D,38
FW-5,10,E,50
FW-5,10,F,62
FW-5,10,G,74
FW-5,10,H,86
FW-5,11,A,3
FW-5,11,B,15
FW-5,11,C,27
FW-5,11,D,39
FW-5,11,E,51
FW-5,11,F,63
FW-5,11,G,75
FW-5,11,H,87
FW-5,12,A,4
FW-5,12,B,16
FW-5,12,C,28
FW-5,12,D,40
FW-5,12,E,52
FW-5,12,F,64
FW-5,12,G,76
FW-5,12,H,88
FW-5,1,A,5
FW-5,1,B,17
FW-5,1,C,29
FW-5,1,D,41
FW-5,1,E,53
FW-5,1,F,65
FW-5,1,G,77
FW-5,1,H,89
FW-5,2,A,6
FW-5,2,B,18
FW-5,2,C,30
FW-5,2,D,42
FW-5,2,E,54
FW-5,2,F,66
FW-5,2,G,78
FW-5,2,H,90
FW-5,3,A,7
FW-5,3,B,19
FW-5,3,C,31
FW-5,3,D,43
FW-5,3,E,55
FW-5,3,F,67
FW-5,3,G,79
FW-5,3,H,91
FW-5,4,A,8
FW-5,4,B,20
FW-5,4,C,32
FW-5,4,D,44
FW-5,4,E,56
FW-5,4,F,68
FW-5,4,G,80
FW-5,4,H,92
FW-5,5,A,9
FW-5,5,B,21
FW-5,5,C,33
FW-5,5,D,45
FW-5,5,E,57
FW-5,5,F,69
FW-5,5,G,81
FW-5,5,H,93
FW-5,6,A,10
FW-5,6,B,22
FW-5,6,C,34
FW-5,6,D,46
FW-5,6,E,58
FW-5,6,F,70
FW-5,6,G,82
FW-5,6,H,94
FW-5,7,A,11
FW-5,7,B,23
FW-5,7,C,35
FW-5,7,D,47
FW-5,7,E,59
FW-5,7,F,71
FW-5,7,G,83
FW-5,7,H,95
FW-5,8,A,12
FW-5,8,B,24
FW-5,8,C,36
FW-5,8,D,48
FW-5,8,E,60
FW-5,8,F,72
FW-5,8,G,84
FW-5,8,H,96
FW-6,8,A,1
FW-6,8,B,13
FW-6,8,C,25
FW-6,8,D,37
FW-6,8,E,49
FW-6,8,F,61
FW-6,8,G,73
FW-6,8,H,85
FW-6,9,A,2
FW-6,9,B,14
FW-6,9,C,26
FW-6,9,D,38
FW-6,9,E,50
FW-6,9,F,62
FW-6,9,G,74
FW-6,9,H,86
FW-6,10,A,3
FW-6,10,B,15
FW-6,10,C,27
FW-6,10,D,39
FW-6,10,E,51
FW-6,10,F,63
FW-6,10,G,75
FW-6,10,H,87
FW-6,11,A,4
FW-6,11,B,16
FW-6,11,C,28
FW-6,11,D,40
FW-6,11,E,52
FW-6,11,F,64
FW-6,11,G,76
FW-6,11,H,88
FW-6,12,A,5
FW-6,12,B,17
FW-6,12,C,29
FW-6,12,D,41
FW-6,12,E,53
FW-6,12,F,65
FW-6,12,G,77
FW-6,12,H,89
FW-6,1,A,6
FW-6,1,B,18
FW-6,1,C,30
FW-6,1,D,42
FW-6,1,E,54
FW-6,1,F,66
FW-6,1,G,78
FW-6,1,H,90
FW-6,2,A,7
FW-6,2,B,19
FW-6,2,C,31
FW-6,2,D,43
FW-6,2,E,55
FW-6,2,F,67
FW-6,2,G,79
FW-6,2,H,91
FW-6,3,A,8
FW-6,3,B,20
FW-6,3,C,32
FW-6,3,D,44
FW-6,3,E,56
FW-6,3,F,68
FW-6,3,G,80
FW-6,3,H,92
FW-6,4,A,9
FW-6,4,B,21
FW-6,4,C,33
FW-6,4,D,45
FW-6,4,E,57
FW-6,4,F,69
FW-6,4,G,81
FW-6,4,H,93
FW-6,5,A,10
FW-6,5,B,22
FW-6,5,C,34
FW-6,5,D,46
FW-6,5,E,58
FW-6,5,F,70
FW-6,5,G,82
FW-6,5,H,94
FW-6,6,A,11
FW-6,6,B,23
FW-6,6,C,35
FW-6,6,D,47
FW-6,6,E,59
FW-6,6,F,71
FW-6,6,G,83
FW-6,6,H,95
FW-6,7,A,12
FW-6,7,B,24
FW-6,7,C,36
FW-6,7,D,48
FW-6,7,E,60
FW-6,7,F,72
FW-6,7,G,84
FW-6,7,H,96
FW-7,7,A,1
FW-7,7,B,13
FW-7,7,C,25
FW-7,7,D,37
FW-7,7,E,49
FW-7,7,F,61
FW-7,7,G,73
FW-7,7,H,85
FW-7,8,A,2
FW-7,8,B,14
FW-7,8,C,26
FW-7,8,D,38
FW-7,8,E,50
FW-7,8,F,62
FW-7,8,G,74
FW-7,8,H,86
FW-7,9,A,3
FW-7,9,B,15
FW-7,9,C,27
FW-7,9,D,39
FW-7,9,E,51
FW-7,9,F,63
FW-7,9,G,75
FW-7,9,H,87
FW-7,10,A,4
FW-7,10,B,16
FW-7,10,C,28
FW-7,10,D,40
FW-7,10,E,52
FW-7,10,F,64
FW-7,10,G,76
FW-7,10,H,88
FW-7,11,A,5
FW-7,11,B,17
FW-7,11,C,29
FW-7,11,D,41
FW-7,11,E,53
FW-7,11,F,65
FW-7,11,G,77
FW-7,11,H,89
FW-7,12,A,6
FW-7,12,B,18
FW-7,12,C,30
FW-7,12,D,42
FW-7,12,E,54
FW-7,12,F,66
FW-7,12,G,78
FW-7,12,H,90
FW-7,1,A,7
FW-7,1,B,19
FW-7,1,C,31
FW-7,1,D,43
FW-7,1,E,55
FW-7,1,F,67
FW-7,1,G,79
FW-7,1,H,91
FW-7,2,A,8
FW-7,2,B,20
FW-7,2,C,32
FW-7,2,D,44
FW-7,2,E,56
FW-7,2,F,68
FW-7,2,G,80
FW-7,2,H,92
FW-7,3,A,9
FW-7,3,B,21
FW-7,3,C,33
FW-7,3,D,45
FW-7,3,E,57
FW-7,3,F,69
FW-7,3,G,81
FW-7,3,H,93
FW-7,4,A,10
FW-7,4,B,22
FW-7,4,C,34
FW-7,4,D,46
FW-7,4,E,58
FW-7,4,F,70
FW-7,4,G,82
FW-7,4,H,94
FW-7,5,A,11
FW-7,5,B,23
FW-7,5,C,35
FW-7,5,D,47
FW-7,5,E,59
FW-7,5,F,71
FW-7,5,G,83
FW-7,5,H,95
FW-7,6,A,12
FW-7,6,B,24
FW-7,6,C,36
FW-7,6,D,48
FW-7,6,E,60
FW-7,6,F,72
FW-7,6,G,84
FW-7,6,H,96
FW-8,6,A,1
FW-8,6,B,13
FW-8,6,C,25
FW-8,6,D,37
FW-8,6,E,49
FW-8,6,F,61
FW-8,6,G,73
FW-8,6,H,85
FW-8,7,A,2
FW-8,7,B,14
FW-8,7,C,26
FW-8,7,D,38
FW-8,7,E,50
FW-8,7,F,62
FW-8,7,G,74
FW-8,7,H,86
FW-8,8,A,3
FW-8,8,B,15
FW-8,8,C,27
FW-8,8,D,39
FW-8,8,E,51
FW-8,8,F,63
FW-8,8,G,75
FW-8,8,H,87
FW-8,9,A,4
FW-8,9,B,16
FW-8,9,C,28
FW-8,9,D,40
FW-8,9,E,52
FW-8,9,F,64
FW-8,9,G,76
FW-8,9,H,88
FW-8,10,A,5
FW-8,10,B,17
FW-8,10,C,29
FW-8,10,D,41
FW-8,10,E,53
FW-8,10,F,65
FW-8,10,G,77
FW-8,10,H,89
FW-8,11,A,6
FW-8,11,B,18
FW-8,11,C,30
FW-8,11,D,42
FW-8,11,E,54
FW-8,11,F,66
FW-8,11,G,78
FW-8,11,H,90
FW-8,12,A,7
FW-8,12,B,19
FW-8,12,C,31
FW-8,12,D,43
FW-8,12,E,55
FW-8,12,F,67
FW-8,12,G,79
FW-8,12,H,91
FW-8,1,A,8
FW-8,1,B,20
FW-8,1,C,32
FW-8,1,D,44
FW-8,1,E,56
FW-8,1,F,68
FW-8,1,G,80
FW-8,1,H,92
FW-8,2,A,9
FW-8,2,B,21
FW-8,2,C,33
FW-8,2,D,45
FW-8,2,E,57
FW-8,2,F,69
FW-8,2,G,81
FW-8,2,H,93
FW-8,3,A,10
FW-8,3,B,22
FW-8,3,C,34
FW-8,3,D,46
FW-8,3,E,58
FW-8,3,F,70
FW-8,3,G,82
FW-8,3,H,94
FW-8,4,A,11
FW-8,4,B,23
FW-8,4,C,35
FW-8,4,D,47
FW-8,4,E,59
FW-8,4,F,71
FW-8,4,G,83
FW-8,4,H,95
FW-8,5,A,12
FW-8,5,B,24
FW-8,5,C,36
FW-8,5,D,48
FW-8,5,E,60
FW-8,5,F,72
FW-8,5,G,84
FW-8,5,H,96
FW-9,5,A,1
FW-9,5,B,13
FW-9,5,C,25
FW-9,5,D,37
FW-9,5,E,49
FW-9,5,F,61
FW-9,5,G,73
FW-9,5,H,85
FW-9,6,A,2
FW-9,6,B,14
FW-9,6,C,26
FW-9,6,D,38
FW-9,6,E,50
FW-9,6,F,62
FW-9,6,G,74
FW-9,6,H,86
FW-9,7,A,3
FW-9,7,B,15
FW-9,7,C,27
FW-9,7,D,39
FW-9,7,E,51
FW-9,7,F,63
FW-9,7,G,75
FW-9,7,H,87
FW-9,8,A,4
FW-9,8,B,16
FW-9,8,C,28
FW-9,8,D,40
FW-9,8,E,52
FW-9,8,F,64
FW-9,8,G,76
FW-9,8,H,88
FW-9,9,A,5
FW-9,9,B,17
FW-9,9,C,29
FW-9,9,D,41
FW-9,9,E,53
FW-9,9,F,65
FW-9,9,G,77
FW-9,9,H,89
FW-9,10,A,6
FW-9,10,B,18
FW-9,10,C,30
FW-9,10,D,42
FW-9,10,E,54
FW-9,10,F,66
FW-9,10,G,78
FW-9,10,H,90
FW-9,11,A,7
FW-9,11,B,19
FW-9,11,C,31
FW-9,11,D,43
FW-9,11,E,55
FW-9,11,F,67
FW-9,11,G,79
FW-9,11,H,91
FW-9,12,A,8
FW-9,12,B,20
FW-9,12,C,32
FW-9,12,D,44
FW-9,12,E,56
FW-9,12,F,68
FW-9,12,G,80
FW-9,12,H,92
FW-9,1,A,9
FW-9,1,B,21
FW-9,1,C,33
FW-9,1,D,45
FW-9,1,E,57
FW-9,1,F,69
FW-9,1,G,81
FW-9,1,H,93
FW-9,2,A,10
FW-9,2,B,22
FW-9,2,C,34
FW-9,2,D,46
FW-9,2,E,58
FW-9,2,F,70
FW-9,2,G,82
FW-9,2,H,94
FW-9,3,A,11
FW-9,3,B,23
FW-9,3,C,35
FW-9,3,D,47
FW-9,3,E,59
FW-9,3,F,71
FW-9,3,G,83
FW-9,3,H,95
FW-9,4,A,12
FW-9,4,B,24
FW-9,4,C,36
FW-9,4,D,48
FW-9,4,E,60
FW-9,4,F,72
FW-9,4,G,84
FW-9,4,H,96
FW-10,4,A,1
FW-10,4,B,13
FW-10,4,C,25
FW-10,4,D,37
FW-10,4,E,49
FW-10,4,F,61
FW-10,4,G,73
FW-10,4,H,85
FW-10,5,A,2
FW-10,5,B,14
FW-10,5,C,26
FW-10,5,D,38
FW-10,5,E,50
FW-10,5,F,62
FW-10,5,G,74
FW-10,5,H,86
FW-10,6,A,3
FW-10,6,B,15
FW-10,6,C,27
FW-10,6,D,39
FW-10,6,E,51
FW-10,6,F,63
FW-10,6,G,75
FW-10,6,H,87
FW-10,7,A,4
FW-10,7,B,16
FW-10,7,C,28
FW-10,7,D,40
FW-10,7,E,52
FW-10,7,F,64
FW-10,7,G,76
FW-10,7,H,88
FW-10,8,A,5
FW-10,8,B,17
FW-10,8,C,29
FW-10,8,D,41
FW-10,8,E,53
FW-10,8,F,65
FW-10,8,G,77
FW-10,8,H,89
FW-10,9,A,6
FW-10,9,B,18
FW-10,9,C,30
FW-10,9,D,42
FW-10,9,E,54
FW-10,9,F,66
FW-10,9,G,78
FW-10,9,H,90
FW-10,10,A,7
FW-10,10,B,19
FW-10,10,C,31
FW-10,10,D,43
FW-10,10,E,55
FW-10,10,F,67
FW-10,10,G,79
FW-10,10,H,91
FW-10,11,A,8
FW-10,11,B,20
FW-10,11,C,32
FW-10,11,D,44
FW-10,11,E,56
FW-10,11,F,68
FW-10,11,G,80
FW-10,11,H,92
FW-10,12,A,9
FW-10,12,B,21
FW-10,12,C,33
FW-10,12,D,45
FW-10,12,E,57
FW-10,12,F,69
FW-10,12,G,81
FW-10,12,H,93
FW-10,1,A,10
FW-10,1,B,22
FW-10,1,C,34
FW-10,1,D,46
FW-10,1,E,58
FW-10,1,F,70
FW-10,1,G,82
FW-10,1,H,94
FW-10,2,A,11
FW-10,2,B,23
FW-10,2,C,35
FW-10,2,D,47
FW-10,2,E,59
FW-10,2,F,71
FW-10,2,G,83
FW-10,2,H,95
FW-10,3,A,12
FW-10,3,B,24
FW-10,3,C,36
FW-10,3,D,48
FW-10,3,E,60
FW-10,3,F,72
FW-10,3,G,84
FW-10,3,H,96
FW-11,3,A,1
FW-11,3,B,13
FW-11,3,C,25
FW-11,3,D,37
FW-11,3,E,49
FW-11,3,F,61
FW-11,3,G,73
FW-11,3,H,85
FW-11,4,A,2
FW-11,4,B,14
FW-11,4,C,26
FW-11,4,D,38
FW-11,4,E,50
FW-11,4,F,62
FW-11,4,G,74
FW-11,4,H,86
FW-11,5,A,3
FW-11,5,B,15
FW-11,5,C,27
FW-11,5,D,39
FW-11,5,E,51
FW-11,5,F,63
FW-11,5,G,75
FW-11,5,H,87
FW-11,6,A,4
FW-11,6,B,16
FW-11,6,C,28
FW-11,6,D,40
FW-11,6,E,52
FW-11,6,F,64
FW-11,6,G,76
FW-11,6,H,88
FW-11,7,A,5
FW-11,7,B,17
FW-11,7,C,29
FW-11,7,D,41
FW-11,7,E,53
FW-11,7,F,65
FW-11,7,G,77
FW-11,7,H,89
FW-11,8,A,6
FW-11,8,B,18
FW-11,8,C,30
FW-11,8,D,42
FW-11,8,E,54
FW-11,8,F,66
FW-11,8,G,78
FW-11,8,H,90
FW-11,9,A,7
FW-11,9,B,19
FW-11,9,C,31
FW-11,9,D,43
FW-11,9,E,55
FW-11,9,F,67
FW-11,9,G,79
FW-11,9,H,91
FW-11,10,A,8
FW-11,10,B,20
FW-11,10,C,32
FW-11,10,D,44
FW-11,10,E,56
FW-11,10,F,68
FW-11,10,G,80
FW-11,10,H,92
FW-11,11,A,9
FW-11,11,B,21
FW-11,11,C,33
FW-11,11,D,45
FW-11,11,E,57
FW-11,11,F,69
FW-11,11,G,81
FW-11,11,H,93
FW-11,12,A,10
FW-11,12,B,22
FW-11,12,C,34
FW-11,12,D,46
FW-11,12,E,58
FW-11,12,F,70
FW-11,12,G,82
FW-11,12,H,94
FW-11,1,A,11
FW-11,1,B,23
FW-11,1,C,35
FW-11,1,D,47
FW-11,1,E,59
FW-11,1,F,71
FW-11,1,G,83
FW-11,1,H,95
FW-11,2,A,12
FW-11,2,B,24
FW-11,2,C,36
FW-11,2,D,48
FW-11,2,E,60
FW-11,2,F,72
FW-11,2,G,84
FW-11,2,H,96
FW-12,2,A,1
FW-12,2,B,13
FW-12,2,C,25
FW-12,2,D,37
FW-12,2,E,49
FW-12,2,F,61
FW-12,2,G,73
FW-12,2,H,85
FW-12,3,A,2
FW-12,3,B,14
FW-12,3,C,26
FW-12,3,D,38
FW-12,3,E,50
FW-12,3,F,62
FW-12,3,G,74
FW-12,3,H,86
FW-12,4,A,3
FW-12,4,B,15
FW-12,4,C,27
FW-12,4,D,39
FW-12,4,E,51
FW-12,4,F,63
FW-12,4,G,75
FW-12,4,H,87
FW-12,5,A,4
FW-12,5,B,16
FW-12,5,C,28
FW-12,5,D,40
FW-12,5,E,52
FW-12,5,F,64
FW-12,5,G,76
FW-12,5,H,88
FW-12,6,A,5
FW-12,6,B,17
FW-12,6,C,29
FW-12,6,D,41
FW-12,6,E,53
FW-12,6,F,65
FW-12,6,G,77
FW-12,6,H,89
FW-12,7,A,6
FW-12,7,B,18
FW-12,7,C,30
FW-12,7,D,42
FW-12,7,E,54
FW-12,7,F,66
FW-12,7,G,78
FW-12,7,H,90
FW-12,8,A,7
FW-12,8,B,19
FW-12,8,C,31
FW-12,8,D,43
FW-12,8,E,55
FW-12,8,F,67
FW-12,8,G,79
FW-12,8,H,91
FW-12,9,A,8
FW-12,9,B,20
FW-12,9,C,32
FW-12,9,D,44
FW-12,9,E,56
FW-12,9,F,68
FW-12,9,G,80
FW-12,9,H,92
FW-12,10,A,9
FW-12,10,B,21
FW-12,10,C,33
FW-12,10,D,45
FW-12,10,E,57
FW-12,10,F,69
FW-12,10,G,81
FW-12,10,H,93
FW-12,11,A,10
FW-12,11,B,22
FW-12,11,C,34
FW-12,11,D,46
FW-12,11,E,58
FW-12,11,F,70
FW-12,11,G,82
FW-12,11,H,94
FW-12,12,A,11
FW-12,12,B,23
FW-12,12,C,35
FW-12,12,D,47
FW-12,12,E,59
FW-12,12,F,71
FW-12,12,G,83
FW-12,12,H,95
FW-12,1,A,12
FW-12,1,B,24
FW-12,1,C,36
FW-12,1,D,48
FW-12,1,E,60
FW-12,1,F,72
FW-12,1,G,84
FW-12,1,H,96
FW-13,1,A,97
FW-13,1,B,109
FW-13,1,C,121
FW-13,1,D,133
FW-13,1,E,145
FW-13,1,F,157
FW-13,1,G,169
FW-13,1,H,181
FW-13,2,A,98
FW-13,2,B,110
FW-13,2,C,122
FW-13,2,D,134
FW-13,2,E,146
FW-13,2,F,158
FW-13,2,G,170
FW-13,2,H,182
FW-13,3,A,99
FW-13,3,B,111
FW-13,3,C,123
FW-13,3,D,135
FW-13,3,E,147
FW-13,3,F,159
FW-13,3,G,171
FW-13,3,H,183
FW-13,4,A,100
FW-13,4,B,112
FW-13,4,C,124
FW-13,4,D,136
FW-13,4,E,148
FW-13,4,F,160
FW-13,4,G,172
FW-13,4,H,184
FW-13,5,A,101
FW-13,5,B,113
FW-13,5,C,125
FW-13,5,D,137
FW-13,5,E,149
FW-13,5,F,161
FW-13,5,G,173
FW-13,5,H,185
FW-13,6,A,102
FW-13,6,B,114
FW-13,6,C,126
FW-13,6,D,138
FW-13,6,E,150
FW-13,6,F,162
FW-13,6,G,174
FW-13,6,H,186
FW-13,7,A,103
FW-13,7,B,115
FW-13,7,C,127
FW-13,7,D,139
FW-13,7,E,151
FW-13,7,F,163
FW-13,7,G,175
FW-13,7,H,187
FW-13,8,A,104
FW-13,8,B,116
FW-13,8,C,128
FW-13,8,D,140
FW-13,8,E,152
FW-13,8,F,164
FW-13,8,G,176
FW-13,8,H,188
FW-13,9,A,105
FW-13,9,B,117
FW-13,9,C,129
FW-13,9,D,141
FW-13,9,E,153
FW-13,9,F,165
FW-13,9,G,177
FW-13,9,H,189
FW-13,10,A,106
FW-13,10,B,118
FW-13,10,C,130
FW-13,10,D,142
FW-13,10,E,154
FW-13,10,F,166
FW-13,10,G,178
FW-13,10,H,190
FW-13,11,A,107
FW-13,11,B,119
FW-13,11,C,131
FW-13,11,D,143
FW-13,11,E,155
FW-13,11,F,167
FW-13,11,G,179
FW-13,11,H,191
FW-13,12,A,108
FW-13,12,B,120
FW-13,12,C,132
FW-13,12,D,144
FW-13,12,E,156
FW-13,12,F,168
FW-13,12,G,180
FW-13,12,H,192
FW-14,12,A,97
FW-14,12,B,109
FW-14,12,C,121
FW-14,12,D,133
FW-14,12,E,145
FW-14,12,F,157
FW-14,12,G,169
FW-14,12,H,181
FW-14,1,A,98
FW-14,1,B,110
FW-14,1,C,122
FW-14,1,D,134
FW-14,1,E,146
FW-14,1,F,158
FW-14,1,G,170
FW-14,1,H,182
FW-14,2,A,99
FW-14,2,B,111
FW-14,2,C,123
FW-14,2,D,135
FW-14,2,E,147
FW-14,2,F,159
